Date,Mkt-RF,SMB,HML,RMW,CMA,RF
14/09/2016,-0.08,0.05,-0.82,0.09,-0.45,0.001
15/09/2016,1.08,0.3,-0.31,0.06,-0.21,0.001
16/09/2016,-0.36,0.29,-0.45,0.21,-0.19,0.001
19/09/2016,0.05,0.51,0.14,-0.08,0.36,0.001
20/09/2016,-0.02,-0.35,-0.4,-0.55,-0.1,0.001
21/09/2016,1.12,0.21,0.34,-0.4,0.52,0.001
22/09/2016,0.7,0.81,-0.06,0.08,0.11,0.001
23/09/2016,-0.6,-0.06,-0.21,0.53,-0.51,0.001
26/09/2016,-0.88,-0.3,-0.35,-0.15,0.17,0.001
27/09/2016,0.64,-0.13,-0.5,-0.04,-0.38,0.001
28/09/2016,0.56,0.24,1.11,-0.91,1.15,0.001
29/09/2016,-0.98,-0.39,0.51,0.28,0.67,0.001
30/09/2016,0.88,0.43,0.34,-0.2,0.1,0.001
03/10/2016,-0.26,-0.04,-0.12,0.02,0.17,0.001
04/10/2016,-0.46,0.06,0.15,0.11,-0.31,0.001
05/10/2016,0.58,0.42,0.8,-0.48,0.44,0.001
06/10/2016,-0.06,-0.23,0.28,0.45,0.23,0.001
07/10/2016,-0.38,-0.54,0.2,-0.28,-0.35,0.001
10/10/2016,0.52,0.57,0.05,-0.55,-0.19,0.001
11/10/2016,-1.3,-0.57,0.43,0.39,0.08,0.001
12/10/2016,0.06,-0.22,0.34,0.67,0.14,0.001
13/10/2016,-0.42,-0.74,-0.63,0.33,-0.15,0.001
14/10/2016,0.01,-0.36,0.58,0.07,0.1,0.001
17/10/2016,-0.29,-0.01,0.15,0.11,0.11,0.001
18/10/2016,0.6,-0.16,0.05,-0.3,-0.31,0.001
19/10/2016,0.25,0.13,0.94,-0.11,0.49,0.001
20/10/2016,-0.16,-0.04,-0.11,-0.48,-0.02,0.001
21/10/2016,0.02,-0.18,-0.33,0.17,-0.17,0.001
24/10/2016,0.54,0.07,-0.19,0.59,-0.49,0.001
25/10/2016,-0.46,-0.61,0.24,0.01,-0.02,0.001
26/10/2016,-0.23,-0.73,0.7,0.12,0.51,0.001
27/10/2016,-0.33,-0.94,0.56,-0.11,0.02,0.001
28/10/2016,-0.29,-0.13,0.08,-0.13,0.36,0.001
31/10/2016,0.02,0.11,0.1,0.48,-0.34,0.001
01/11/2016,-0.68,-0.38,0.2,-0.5,-0.06,0.001
02/11/2016,-0.73,-0.56,0.25,0.97,0.11,0.001
03/11/2016,-0.4,-0.37,1.05,0.13,0.8,0.001
04/11/2016,-0.12,0.85,-0.44,-0.09,-0.05,0.001
07/11/2016,2.23,0.17,-0.13,-0.31,-0.22,0.001
08/11/2016,0.4,-0.11,-0.22,-0.06,0.29,0.001
09/11/2016,1.46,2.13,1.07,-0.81,0.72,0.001
10/11/2016,0.32,1.46,1.84,-0.26,0.35,0.001
11/11/2016,0.18,2.53,-0.02,0.02,-0.33,0.001
14/11/2016,0.21,0.92,1.41,-0.22,0.34,0.001
15/11/2016,0.8,-0.54,0.15,-0.5,0.22,0.001
16/11/2016,-0.12,0.22,-0.56,0.76,-0.16,0.001
17/11/2016,0.56,0.16,-0.15,0.17,-0.42,0.001
18/11/2016,-0.16,0.57,0.38,-0.19,0.11,0.001
21/11/2016,0.77,-0.26,0.06,-0.05,0.35,0.001
22/11/2016,0.31,0.65,0.53,0.85,0.28,0.001
23/11/2016,0.16,0.56,0.19,-0.26,0.16,0.001
25/11/2016,0.4,-0.05,-0.29,0.26,-0.16,0.001
28/11/2016,-0.64,-0.77,0.09,0.68,-0.35,0.001
29/11/2016,0.11,-0.38,-0.05,0.43,-0.5,0.001
30/11/2016,-0.25,-0.17,2.21,-1.43,1.99,0.001
01/12/2016,-0.36,-0.39,2.03,0.31,0.62,0.001
02/12/2016,0,-0.01,-0.32,-0.11,0.09,0.001
05/12/2016,0.75,1.12,0.27,-0.31,-0.16,0.001
06/12/2016,0.48,0.63,0.22,-0.16,-0.08,0.001
07/12/2016,1.26,-0.49,0.48,0.84,-0.01,0.001
08/12/2016,0.36,1.24,0.61,-0.22,-0.1,0.001
09/12/2016,0.46,-0.35,0.2,-0.06,-0.04,0.001
12/12/2016,-0.3,-0.98,-0.13,0.11,0.04,0.001
13/12/2016,0.6,-0.58,-0.26,0.06,-0.17,0.001
14/12/2016,-0.82,-0.39,-0.28,0.44,-0.51,0.001
15/12/2016,0.46,0.46,0.3,0.03,0.06,0.001
16/12/2016,-0.22,-0.01,-0.41,-0.15,-0.01,0.001
19/12/2016,0.22,0.32,0.06,0.21,0.05,0.001
20/12/2016,0.44,0.5,0.63,0.12,0.1,0.001
21/12/2016,-0.24,-0.34,0.19,0.15,0.05,0.001
22/12/2016,-0.3,-0.78,0.26,-0.21,0.05,0.001
23/12/2016,0.19,0.53,-0.5,-0.36,-0.15,0.001
27/12/2016,0.27,0.23,0.14,0.17,0.04,0.001
28/12/2016,-0.87,-0.29,0.09,0.17,-0.15,0.001
29/12/2016,-0.04,0.1,-0.33,0.27,0.02,0.001
30/12/2016,-0.52,-0.06,0.2,-0.11,0.03,0.001
03/01/2017,0.83,-0.11,0.06,-0.2,0.26,0.002
04/01/2017,0.79,0.97,-0.16,-0.47,-0.04,0.002
05/01/2017,-0.21,-1.02,-0.79,-0.21,-0.08,0.002
06/01/2017,0.29,-0.74,-0.31,-0.35,-0.3,0.002
09/01/2017,-0.37,-0.34,-1.03,0.14,-0.52,0.002
10/01/2017,0.16,0.93,0.43,0.04,0.04,0.002
11/01/2017,0.31,-0.16,0.68,0.07,0.28,0.002
12/01/2017,-0.3,-0.65,-0.87,0.05,-0.28,0.002
13/01/2017,0.29,0.59,-0.08,-0.28,-0.17,0.002
17/01/2017,-0.49,-0.96,-0.64,0.59,0.39,0.002
18/01/2017,0.24,0.2,0.24,-0.11,-0.1,0.002
19/01/2017,-0.38,-0.55,-0.05,-0.1,-0.03,0.002
20/01/2017,0.33,0.09,0.23,0.14,0.01,0.002
23/01/2017,-0.29,-0.06,-0.33,0.43,-0.35,0.002
24/01/2017,0.83,0.8,0.81,-0.24,0.49,0.002
25/01/2017,0.84,0.21,0.43,-0.26,-0.16,0.002
26/01/2017,-0.1,-0.58,0.41,-0.08,-0.16,0.002
27/01/2017,-0.12,-0.06,-0.68,0.1,0.05,0.002
30/01/2017,-0.68,-0.74,-0.46,0.6,-0.15,0.002
31/01/2017,0,0.81,-0.56,-0.39,-0.25,0.002
01/02/2017,0.03,-0.08,0.04,0.22,-0.22,0.002
02/02/2017,-0.02,-0.3,-0.29,-0.31,0.16,0.002
03/02/2017,0.82,0.62,0.75,-0.5,0.31,0.002
06/02/2017,-0.27,-0.64,-0.19,0.1,-0.21,0.002
07/02/2017,-0.01,-0.38,-0.52,0.39,-0.23,0.002
08/02/2017,0.06,-0.28,-0.6,0.3,-0.07,0.002
09/02/2017,0.72,0.7,0.07,-0.27,0.05,0.002
10/02/2017,0.38,0.41,0.14,0.01,0.15,0.002
13/02/2017,0.49,-0.26,0.33,0,0.04,0.002
14/02/2017,0.45,-0.17,0.36,-0.44,-0.08,0.002
15/02/2017,0.54,0.14,-0.43,0.2,-0.06,0.002
16/02/2017,-0.16,-0.22,0.01,0.27,-0.23,0.002
17/02/2017,0.2,-0.06,-0.54,0.01,-0.4,0.002
21/02/2017,0.6,0.06,0.13,0.32,0.37,0.002
22/02/2017,-0.15,-0.38,0.1,0.48,-0.33,0.002
23/02/2017,-0.11,-0.72,0.25,-0.25,-0.45,0.002
24/02/2017,0.15,-0.11,-0.98,0.33,-0.23,0.002
27/02/2017,0.22,0.85,-0.33,-0.38,-0.15,0.002
28/02/2017,-0.42,-1.36,0.16,-0.01,-0.2,0.002
01/03/2017,1.47,0.52,0.77,-0.54,0.54,0.001
02/03/2017,-0.7,-0.54,-0.9,0.63,-0.43,0.001
03/03/2017,0.09,-0.18,0.14,-0.06,-0.1,0.001
06/03/2017,-0.38,-0.41,-0.08,-0.05,0.01,0.001
07/03/2017,-0.36,-0.35,-0.06,0.1,-0.25,0.001
08/03/2017,-0.19,-0.19,-0.83,0.44,-0.75,0.001
09/03/2017,0.04,-0.53,-0.23,-0.58,-0.14,0.001
10/03/2017,0.34,0.06,-0.48,0.27,0.04,0.001
13/03/2017,0.13,0.32,-0.07,-0.12,0.04,0.001
14/03/2017,-0.36,-0.22,0,0.5,-0.25,0.001
15/03/2017,0.86,0.7,-0.46,-0.12,0.5,0.001
16/03/2017,-0.06,0.44,0.22,-0.15,-0.36,0.001
17/03/2017,-0.08,0.58,-0.33,0.15,0.02,0.001
20/03/2017,-0.25,-0.2,-0.72,-0.15,-0.05,0.001
21/03/2017,-1.48,-1.41,-0.71,0.86,0.29,0.001
22/03/2017,0.16,-0.33,-0.57,0.16,-0.16,0.001
23/03/2017,-0.03,0.74,0.49,-0.03,0.2,0.001
24/03/2017,-0.05,0.11,-0.21,-0.27,-0.32,0.001
27/03/2017,-0.05,0.47,-0.49,-0.21,-0.27,0.001
28/03/2017,0.72,-0.05,0.72,0.05,0.39,0.001
29/03/2017,0.18,0.33,-0.09,-0.25,0.12,0.001
30/03/2017,0.36,0.42,0.92,-0.06,-0.16,0.001
31/03/2017,-0.16,0.55,-0.32,0.04,0.08,0.001
03/04/2017,-0.28,-1.15,-0.08,-0.15,-0.06,0.003
04/04/2017,0.05,-0.24,0.32,-0.08,0.2,0.003
05/04/2017,-0.44,-0.83,-0.3,0.46,-0.1,0.003
06/04/2017,0.32,0.74,0.48,-0.13,0.37,0.003
07/04/2017,-0.08,0.07,-0.26,0.01,-0.05,0.003
10/04/2017,0.08,0.14,0.07,0.19,0.49,0.003
11/04/2017,-0.05,0.8,0.23,0.21,0.19,0.003
12/04/2017,-0.49,-0.94,-0.54,-0.04,-0.54,0.003
13/04/2017,-0.75,-0.34,-0.81,-0.03,-0.38,0.003
17/04/2017,0.89,0.29,0.24,0.02,-0.14,0.003
18/04/2017,-0.25,0.31,-0.19,0.31,0.11,0.003
19/04/2017,-0.08,0.56,-0.44,0.44,-0.84,0.003
20/04/2017,0.83,0.6,0.26,0.2,-0.2,0.003
